platform	categoryId	question	answer			right	group	textarea
lico	lico1	Что такое стратегия продаж?	Последовательность шагов в работе с клиентом для достижения цели продаж.			Да	1	0
lico	lico1	Что такое стратегия продаж?	Изучение истории компании клиента.			Нет	1	0
lico	lico1	Что такое стратегия продаж?	Решения и действия клиента, необходимые нам для достижения цели.			Да	1	0
lico	lico1	Что такое стратегия продаж?	«Маршрут» достижения желаемой цели в продажах и работе с клиентом.			Да	1	0
lico	lico1	Что такое стратегия продаж?	Цель по развитию продаж клиента.			Нет	1	0
lico	lico1	Что такое стратегия продаж?	Ответы на возможные возражения клиента, подготовленные нами заранее.			Нет	1	0
lico	lico1	Что такое стратегия продаж?	Последовательные этапы при работе с клиентом в текущем периоде.			Да	1	0
lico	lico1	Что такое стратегия продаж?	Комплексный план достижения желаемого результата продаж клиенту.			Да	1	0
lico	lico1	Что такое стратегия продаж?	Общее понимание планов продаж с клиентом.			Нет	1	0
lico	lico1	Что такое стратегия продаж?	Своевременное заполнение отчетов по работе с клиентом.			Нет	1	0
lico	lico1	Укажите, что является целью переговоров?	Презентовать компанию клиенту.			Нет	2	0
lico	lico1	Укажите, что является целью переговоров?	Познакомится с клиентом лично.			Нет	2	0
lico	lico1	Укажите, что является целью переговоров?	Получить согласие на следующую встречу с лицом, принимающим решение.			Да	2	0
lico	lico1	Укажите, что является целью переговоров?	Получить заказ на первую поставку.			Да	2	0
lico	lico1	Укажите, что является целью переговоров?	Получить от клиента согласие на расширение ассортимента.			Да	2	0
lico	lico1	Укажите, что является целью переговоров?	Приехать на встречу вовремя.			Нет	2	0
lico	lico1	Укажите, что является целью переговоров?	Провести клиенту аргументы в пользу наших продуктов.			Нет	2	0
lico	lico1	Укажите, что является целью переговоров?	Вывести клиента на откровенный разговор о конкурентах.			Нет	2	0
lico	lico1	Укажите, что является целью переговоров?	Согласовать с клиентом цены по планируемому проекту.			Да	2	0
lico	lico1	Укажите, что является целью переговоров?	Получить от клиента рекомендации для других потенциальных клиентов.			Да	2	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Область ответственности участника ГПР.			Да	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Сила влияния на решение.			Да	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Опыт работы в целевой сфере бизнеса.			Нет	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Лояльность к нашим продуктам и решениям.			Да	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Личные увлечения клиента.			Нет	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Коммуникации с другими участниками.			Да	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Предыдущее место работы.			Нет	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	День рождения участника группы.			Нет	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Кто на кого влияет в группе принятия решения.			Да	3	0
lico	lico1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Наличие лицензий и сертификатов для ведения строительных работ.			Нет	3	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР единолично			Да	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР ситуативно.			Да	4	0
